,Unnamed: 0,text,label,pred
64,64,Ngoại hạng anh toang lun,Bình thường,Bình thường
65,65,"""do thi hanh hi tea food drink mùa hè đang dần tới hãy đến hitea thưởng_thức ngay bát tào_phớ đầy_đặn và hết_sức tự_nhiên và tìm người_thương cho mình ấp đồn yên trung yên_phong bắc ninh ship""",Bình thường,Bình thường
66,66,Năm nay ở nhà bế con đc xem táo quân là ấm rồi 🥰,Bình thường,Bình thường
67,67,Đất nước ta chịu nhiều thiệt thòi vì trả qua nhiều cuộc chiến tranh liên miên,Bình thường,Công kích
68,68,Điểm danh nào :v,Bình thường,Bình thường
69,69,O DOI la vay luc nguoi ta ha Minh van con thi  chuoi nguoi ta cang ngay cang manh Bay  gio no tuc roi no quay Lai no can cang nhieu hon xua   nghe Cho da tai nhaoi nguoi that la  mat the dien cua nguoi vn  Bo tay  ban thieu,Công kích,Thù ghét
70,70,"""dcm tao ko bít trả báo hay ko mà nghe cái miệng lồn của mày nói là tao muốn chửi rồi con mặt lồn bị bệnh còn đổ_thừa tại ngta mổ xao ko đổ_thừa tại con_mẹ mày sinh ra đứa ngu như mày hả con chó chết""",Thù ghét,Thù ghét
71,71,"""cmt nhiều vl ra""",Công kích,Công kích
72,72,Ông Trần Dần lại muốn về Việt Nam đó mấy bạn cccđ ạ.không có tiền về Việt Nam sống thì phải chịu thôi chứ về Việt Nam sống và chết tại quê cha đất mẹ vẫn thấy thanh thản hơn.,Bình thường,Thù ghét
73,73,Nổ như bom.,Công kích,Công kích
74,74,"""tư_bản phương tây khắt_khe với dân nổi_tiếng không tha tau vì thương dân đéo phạt""",Công kích,Thù ghét
75,75,"""mệt quãi lồn""",Thù ghét,Bình thường
76,76,Đm lần đầu tiên bố địt vào mày ad ạ.,Thù ghét,Thù ghét
77,77,"Thế thì mới kêu làng kêu nước \"" ở đây rất là ngột ngạt\"".",Bình thường,Công kích
78,78,"""mộng nhi gắt vl ra""",Bình thường,Bình thường
79,79,"Noi nhu vay thi ban lanh ra ho tro thien tay giúp dan di.hay nhu co suc thiet phuc thi manh dan dung len kiu goi quyên gop di.neu k giúp dc thi im lang di.noi ra lam nhu gioi lam do.nhung that chat chi co cai mieng phat lac va doi tay,doi chan vo vung.song k bang con chùm.",Công kích,Thù ghét
80,80,"mẹ, sao bộ k mở cửa hàng kinh doanh bán bình luôn cho dân, ko lại phạt vì mua phải bình đểu :)))",Thù ghét,Công kích
81,81,Thanh xuân như 1 cái ôm,Bình thường,Bình thường
82,82,Tàu khựa tào lao,Thù ghét,Thù ghét
83,83,Do Dat bọn CKTP nó cmt trôi cả cmt của anh đi rồi :((,Bình thường,Thù ghét
84,84,Ai cho mình xin link fb thật của ông Trần Dần với ạ,Bình thường,Bình thường
85,85,NgPh Hoàng xin video bạn ơiiiii,Bình thường,Bình thường
86,86,"Nguyễn Việt Nam ,  Ủa cứt 🐕‍🦺 vàng 👈 mới biết đó nghen. 🖕",Công kích,Bình thường
87,87,Ước gì sự giàu có tỷ lệ thuận với ý thức của Nhung.,Thù ghét,Bình thường
88,88,Ngực nhỏ quá đi,Công kích,Bình thường
89,89,"thế ông PA và những người khác k nhận lương từ nhà nước mà vẫn đánh đổi mạng sống của mình đó, mình còn vừa nghe tin có một bạn đi từ thiện bị tai nạn mới mất đó, họ k nhận lương từ nhà nước nhé. Còn những người nào làm nhà nước thì chấp nhận đi, đó là trách nhiệm của họ nhé, họ phải làm nhé",Bình thường,Bình thường
90,90,Em chua yeu ai bao gio =))),Bình thường,Bình thường
91,91,"Nó chửi Cô Minh Hiếu là sai, nhưng mà đm tụi m thật sự rất quá đáng, nó có xạo hay gì đó nếu ko ảnh hưởng ai thì việc gì phải đập phá chén cơm người khác v, còn việc giá 1 chai nước hoa rẻ thì tự tụi m phải nhận thức được nó là hàng loại nào, nếu thấy chấp nhận thì mua nó đâu ship lại hay lấy dao kề cổ bắt bây mua. Còn Trần Đoàn nên có lời xin lôi tới cô MH đi, còn TĐ nó có xạo sài hàng fake hay thật kệ nó, tụi bây chắc gì ko sống ảo chắc gì ko sài hàng fake nên ai làm gì kệ ngta tạo nghiệp chi v.",Thù ghét,Thù ghét
92,92,"đcm cái bọn ""Animal"" ""TAND BT"" ăn tiền nên mới xử như vậy.",Thù ghét,Thù ghét
93,93,"""thôi dm xin tha cho chú còn làm pxe nuôi vợ_con địt đc các cháu cái đi bóc cmn gần chục cuốn thì vợ_con nhà ai lo các cháu nứng với bọn trẻ đi tha cho chú""",Thù ghét,Thù ghét
94,94,"""là con_gái phải đep va trắng cac chị yêu oi mấy chị oi ai mua kem hôm_nay được tặng quà nhà bông_tai mặt_nạ va hop kem thêm bé khach_tuỳ chọn món quà nha cac chị oi môi hộp dc món nha kg bảo trân nguyễn_my""",Bình thường,Bình thường
95,95,"""giá chỉ lh hoặc gan baru thankful at giap nhi""",Bình thường,Bình thường
96,96,"""ao so_my co hong ao so my hoa bong mau vang hue lai phu ung an thi hung yen""",Bình thường,Bình thường
97,97,"Cái mỏ giống cá tai tượng quá ,,bởi vậy nó sạo ke cai thứ chửi Việt nam la kg ưa roi",Thù ghét,Thù ghét
98,98,Này Trần dần già sắp chết rồi nói bậy nói láo tuổi con cháu khinh thường cho,Thù ghét,Thù ghét
99,99,Cân thận nó lại keu phản động :v,Công kích,Thù ghét
100,100,"""vl anh""",Bình thường,Bình thường
